-0.69,-0.725,-0.5375
-0.69,-0.725,-0.3225
-0.69,-0.725,-0.1075
-0.69,-0.725,0.1075
-0.69,-0.725,0.3225
-0.69,-0.725,0.5375
-0.69,-0.435,-0.5375
-0.69,-0.435,-0.3225
-0.69,-0.435,-0.1075
-0.69,-0.435,0.1075
-0.69,-0.435,0.3225
-0.69,-0.435,0.5375
-0.69,-0.145,-0.5375
-0.69,-0.145,-0.3225
-0.69,-0.145,-0.1075
-0.69,-0.145,0.1075
-0.69,-0.145,0.3225
-0.69,-0.145,0.5375
-0.69,0.145,-0.5375
-0.69,0.145,-0.3225
-0.69,0.145,-0.1075
-0.69,0.145,0.1075
-0.69,0.145,0.3225
-0.69,0.145,0.5375
-0.69,0.435,-0.5375
-0.69,0.435,-0.3225
-0.69,0.435,-0.1075
-0.69,0.435,0.1075
-0.69,0.435,0.3225
-0.69,0.435,0.5375
-0.69,0.725,-0.5375
-0.69,0.725,-0.3225
-0.69,0.725,-0.1075
-0.69,0.725,0.1075
-0.69,0.725,0.3225
-0.69,0.725,0.5375
-0.46,-0.725,-0.5375
-0.46,-0.725,-0.3225
-0.46,-0.725,-0.1075
-0.46,-0.725,0.1075
-0.46,-0.725,0.3225
-0.46,-0.725,0.5375
-0.46,-0.435,-0.5375
-0.46,-0.435,0.5375
-0.46,-0.145,-0.5375
-0.46,-0.145,0.5375
-0.46,0.145,-0.5375
-0.46,0.145,0.5375
-0.46,0.435,-0.5375
-0.46,0.435,0.5375
-0.46,0.725,-0.5375
-0.46,0.725,-0.3225
-0.46,0.725,-0.1075
-0.46,0.725,0.1075
-0.46,0.725,0.3225
-0.46,0.725,0.5375
-0.23,-0.725,-0.5375
-0.23,-0.725,-0.3225
-0.23,-0.725,-0.1075
-0.23,-0.725,0.1075
-0.23,-0.725,0.3225
-0.23,-0.725,0.5375
-0.23,-0.435,-0.5375
-0.23,-0.435,0.5375
-0.23,-0.145,-0.5375
-0.23,-0.145,0.5375
-0.23,0.145,-0.5375
-0.23,0.145,0.5375
-0.23,0.435,-0.5375
-0.23,0.435,0.5375
-0.23,0.725,-0.5375
-0.23,0.725,-0.3225
-0.23,0.725,-0.1075
-0.23,0.725,0.1075
-0.23,0.725,0.3225
-0.23,0.725,0.5375
0,-0.725,-0.5375
0,-0.725,-0.3225
0,-0.725,-0.1075
0,-0.725,0.1075
0,-0.725,0.3225
0,-0.725,0.5375
0,-0.435,-0.5375
0,-0.435,0.5375
0,-0.145,-0.5375
0,-0.145,0.5375
0,0.145,-0.5375
0,0.145,0.5375
0,0.435,-0.5375
0,0.435,0.5375
0,0.725,-0.5375
0,0.725,-0.3225
0,0.725,-0.1075
0,0.725,0.1075
0,0.725,0.3225
0,0.725,0.5375
0.23,-0.725,-0.5375
0.23,-0.725,-0.3225
0.23,-0.725,-0.1075
0.23,-0.725,0.1075
0.23,-0.725,0.3225
0.23,-0.725,0.5375
0.23,-0.435,-0.5375
0.23,-0.435,0.5375
0.23,-0.145,-0.5375
0.23,-0.145,0.5375
0.23,0.145,-0.5375
0.23,0.145,0.5375
0.23,0.435,-0.5375
0.23,0.435,0.5375
0.23,0.725,-0.5375
0.23,0.725,-0.3225
0.23,0.725,-0.1075
0.23,0.725,0.1075
0.23,0.725,0.3225
0.23,0.725,0.5375
0.46,-0.725,-0.5375
0.46,-0.725,-0.3225
0.46,-0.725,-0.1075
0.46,-0.725,0.1075
0.46,-0.725,0.3225
0.46,-0.725,0.5375
